NO	LRR	LRR_var	group
301	-0.15996276	0.009665868	NBPs
302	0.412845215	0.007550699	NBPs
303	-0.174353387	0.21591482	NBPs
304	0.176127599	0.010738178	NBPs
305	0.157318229	0.024091149	NBPs
306	0.131679902	0.011905055	NBPs
307	-0.026589448	0.000213516	NBPs
308	-0.041673902	0.000166545	NBPs
309	-0.091528001	0.000193272	NBPs
310	-0.154151729	0.000277678	NBPs
311	-0.157559164	0.000154358	NBPs
312	-0.006006505	1.50E-05	NBPs
313	-0.02424336	1.51E-05	NBPs
314	-0.100715275	4.49E-05	NBPs
315	-0.124166419	2.73E-05	NBPs
316	-0.151659295	4.84E-05	NBPs
317	0.055543581	0.000339085	NBPs
318	-0.021686329	0.000170424	NBPs
319	-0.077988159	0.000172554	NBPs
320	-0.105386515	0.000173673	NBPs
321	-0.175229748	0.000207006	NBPs
322	0.010431422	0.011296458	NBPs
323	0.043003369	0.017491756	NBPs
324	0.04163624	0.000825505	NBPs
325	0.002141328	0.000758387	NBPs
326	-0.824723268	0.000119723	NBPs
327	-2.071258263	0.001420373	NBPs
328	-0.746604233	0.00028084	NBPs
329	-1.146308935	2.73E-05	BPs
330	-1.255507703	3.33E-05	BPs
331	-0.663459743	8.74E-05	BPs
332	-0.255294038	0.00044159	NBPs
333	-0.478904988	0.000528159	NBPs
334	-0.399155939	0.004325759	NBPs
335	-0.380463806	0.01704051	NBPs
336	-0.496226824	0.038470812	BPs
337	-0.049231438	0.025107207	NBPs
338	-0.221588855	0.003128192	NBPs
339	-0.132641369	0.001417554	NBPs
340	-0.118556979	0.002725339	NBPs
341	-0.132641369	0.002222318	NBPs
342	-0.025155136	0.001330096	NBPs
343	-0.050963338	0.00113565	NBPs
344	-0.025152269	0.001127057	NBPs
345	0.117098534	0.001727806	NBPs
346	0.060262297	0.001272648	NBPs
347	-0.012497057	0.001953548	NBPs
348	-0.012497057	0.002388855	NBPs
349	0.04256272	0.001000327	NBPs
350	0.111555592	0.000995756	NBPs
351	-0.006224319	0.001121032	NBPs
352	0.030589541	0.002271283	NBPs
353	-0.012497057	0.002388855	NBPs
354	-0.04444541	0.001006942	NBPs
355	2.80E-06	0.002353697	NBPs
356	0.064535696	0.008271392	BPs
357	0.146326061	0.007996236	BPs
358	0.07019813	0.007808197	NBPs
359	0	0.004750432	NBPs
360	0.068992325	0.000406239	BPs
361	0.171269899	0.023304014	BPs
362	-0.02221844	0.000469226	NBPs
363	0.138330898	0.005653248	NBPs
364	0.004754912	0.001091492	BPs
365	0.073425834	0.00208079	BPs
366	0.082237911	0.001695992	NBPs
367	0.158223659	0.001543211	NBPs
368	-0.112307444	0.011231606	BPs
369	-0.149886955	0.008873402	BPs
370	-0.162733976	0.009855128	NBPs
371	-0.188940616	0.009940748	NBPs
372	-0.120337315	0.110599896	NBPs
373	0.351724439	0.00747173	NBPs
374	-0.155370936	0.157380029	NBPs
375	0.172227744	0.104554786	NBPs
376	-0.312154929	0.169709843	NBPs
377	0.350202429	0.036683704	NBPs
378	-0.050804576	0.004958552	NBPs
379	-0.057927258	0.00109897	NBPs
380	-0.085157808	0.001824428	NBPs
381	-0.40750801	0.000590485	NBPs
382	-0.664976304	0.000327796	NBPs
383	-0.773870392	0.000556509	NBPs
384	-0.033488606	0.005910462	BPs
