OTU	log2FC	p_value	group	Origin
nirK	-19.92368429	0.177990088	WP-SP	N_cycle
nmo	-5.139253019	0.045898162	WP-SP	N_cycle
nifW	19.1312449	0.319356757	WP-SP	N_cycle
adk	17.52203734	0.312789711	WP-SP	P_cycle
dcd	-0.394623377	0.698951672	WP-SP	P_cycle
dut	1.407764576	0.013193218	WP-SP	P_cycle
gdh	17.60593438	0.083526824	WP-SP	P_cycle
gmk	-3.290021541	0.374673937	WP-SP	P_cycle
gnd	-19.02748372	0.177559405	WP-SP	P_cycle
gntK	16.4542783	0.040926134	WP-SP	P_cycle
guaA	-1.781145587	0.049972984	WP-SP	P_cycle
guaB	-4.841859832	0.097813086	WP-SP	P_cycle
ndk	17.22586864	0.030050571	WP-SP	P_cycle
nrdA	-0.327143488	0.739983889	WP-SP	P_cycle
nrdB	0.595325273	0.436572306	WP-SP	P_cycle
nrdD	2.614419863	0.265827999	WP-SP	P_cycle
nrdE	-2.928735224	0.384580562	WP-SP	P_cycle
nrdF	0.247541602	0.860182361	WP-SP	P_cycle
nrdJ	-0.595868828	0.638732133	WP-SP	P_cycle
phnK	10.34093379	0.319356757	WP-SP	P_cycle
phnN	19.1312449	0.319356757	WP-SP	P_cycle
phoH	0.548717696	0.296888834	WP-SP	P_cycle
ppa	17.36131343	0.044992019	WP-SP	P_cycle
ppc	-17.20530915	0.063855973	WP-SP	P_cycle
ppdK	-23.25562935	0.188035934	WP-SP	P_cycle
ppk	2.824791414	0.079783486	WP-SP	P_cycle
pstA	18.4054577	0.110503152	WP-SP	P_cycle
pstB	18.0706604	0.035100307	WP-SP	P_cycle
pstS	19.03544735	0.04480529	WP-SP	P_cycle
ptsI	12.94763663	0.086060081	WP-SP	P_cycle
purA	-0.73249719	0.514950004	WP-SP	P_cycle
purB	19.33298561	0.087100033	WP-SP	P_cycle
purH	-0.741626608	0.520898198	WP-SP	P_cycle
purK	0.21070477	0.84936846	WP-SP	P_cycle
purL	14.69312507	0.309983632	WP-SP	P_cycle
purM	-2.953512606	0.005222691	WP-SP	P_cycle
purN	3.896485547	0.054730058	WP-SP	P_cycle
purQ	-2.683446959	0.014252487	WP-SP	P_cycle
purS	-4.121321166	0.033150346	WP-SP	P_cycle
purT	14.95204686	0.163996066	WP-SP	P_cycle
pyk	-19.16402642	0.237879402	WP-SP	P_cycle
pyrE	-4.162849266	0.10506141	WP-SP	P_cycle
pyrF	-17.39485643	0.126040624	WP-SP	P_cycle
pyrG	16.55396837	0.128044757	WP-SP	P_cycle
pyrH	17.55886561	0.114326103	WP-SP	P_cycle
rtpR	-2.067231356	0.102858479	WP-SP	P_cycle
thyA	2.928529829	0.01545397	WP-SP	P_cycle
tmk	-0.940943061	0.148164399	WP-SP	P_cycle
ugpC	-5.663996354	0.011190076	WP-SP	P_cycle
betA	2.22705948	0.16437391	WP-SP	S_cycle
betB	13.5881042	0.158452776	WP-SP	S_cycle
cysA	-2.878953186	0.017512433	WP-SP	S_cycle
cysC	22.23306253	0.048063251	WP-SP	S_cycle
cysD	3.840880969	0.050522042	WP-SP	S_cycle
